"filename", "language", "JSON", "JavaScript", "PostCSS", "Markdown", "XML", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\package-lock.json", "JSON", 3847, 0, 0, 0, 0, 0, 0, 0, 1, 3848
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\public\favicon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\public\icons.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\assets\assets.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\components\Navbar\Navbar.css", "PostCSS", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\components\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\components\Sidebar\Sidebsr.css", "PostCSS", 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\index.css", "PostCSS", 0, 0, 30, 0, 0, 0, 0, 1, 7, 38
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\pages\Add\Add.css", "PostCSS", 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\admin\src\pages\Add\Add.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 6, 120
